,project,team,would,make,get,plan,requir,set,work,understand,much,perform,sure,vendor,commit,time,role,support,area,document,chang,function,system,level,ask,commun,bill,go,test,golive,defin,busi,process,earli,engag,soon,need,effect,responsibility,review,date,especi,name,includ,tier,demand,resourc,requirement,unt,start,servic,establish,lead,business,item,do,approv,service,may,assign,offer,pipeline,rom,roi,scope,available,proactiv,allevi,confu,surround,reason,suspen,activ,use,avail,relevant,fix,bug,retest,stage,provid,clariti,add,valu,everi,step,implement,overcommit,state,fte,figur,check,report,management,escal,better,realist,schedul,decis,honest,workload,accomplish,come,month,instance,stakehold,identifi,possibl,elicit,filter,current,public,inform,consid,pii,right,authorization,access,detail,effort,academ,calendar,goliv,impact,faculti,member,develop,agre,upon,determine,ensure,user,ultimately,responsible,give,mock,conversion,kind,browser,relev,case,also,directli,onboard,troubleshoot,term,organizational,strategy,confirm,paramet,prevent,tradit,format,improv,adopt,good,practic,manag,pm,tri,type,info,nee,create,signoff,development,care,write,amount,onsit,billabl,hour,per,week,outlin,nonperform,pay,advanc,retain,power,pur,best,-PRON-,upfront,guideline,expectation,technic,issu,ari,prepar,relationship,even,call,quality,issue,standardize,infrastructure,recommend,solution,goal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6152755635,0.6152755635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7504305995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.05239452318,0,0.06068186667,0,0,0,0,0,0,0,0.07082475537,0,0,0,0,0,0,0,0,0,0,0,0,0.0839012132,0.0839012132,0.0839012132,0.0839012132,0.0839012132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0.1023314454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.04045457778,0.04045457778,0.04045457778,0.04045457778,0,0,0,0,0,0.04721650358,0.04721650358,0.04721650358,0.05593414214,0,0,0,0,0,0,0,0,0.05593414214,0,0,0,0,0.05593414214,0.05593414214,0.05593414214,0.05593414214,0.05593414214,0.05593414214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0.06822096359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0.09535721905,0,0.09535721905,0,0,0,0,0.1112960441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160806557,0.160806557,0.160806557,0.160806557,0.160806557,0.160806557,0.160806557,0.160806557,0.160806557,0.160806557,0.160806557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.1335001067,0,0,0,0,0,0,0,0,0.1558144618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184582669,0.184582669,0.184582669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2251291799,0.2251291799,0.2251291799,0.2251291799,0.2251291799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.1668751333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2307283363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2814114748,0.2814114748,0.2814114748,0.2814114748,0.2814114748,0.2814114748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0.07026321404,0,0.07026321404,0.07026321404,0,0,0,0,0,0.08200761148,0,0,0.08200761148,0,0,0,0,0,0.09714877318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09714877318,0.09714877318,0.09714877318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118489042,0.118489042,0.118489042,0.118489042,0.118489042,0.118489042,0.118489042,0.118489042,0.118489042,0.118489042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2636895272,0,0.2636895272,0.2636895272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3216131141,0.3216131141,0.3216131141,0.3216131141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.04116712535,0.04116712535,0,0,0,0,0,0,0.04767860953,0,0,0.05564802207,0,0,0,0,0.05564802207,0.1318447636,0,0,0,0,0,0,0,0,0,0,0,0.0659223818,0,0,0,0,0,0,0,0,0.0659223818,0,0,0,0,0.0659223818,0.160806557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0.08040327852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1419866685,0,0,0,0,0,0,0,0,0,0,0,0.1419866685,0,0,0,0.1419866685,0,0,0,0.1419866685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1731762922,0.1731762922,0.1731762922,0.1731762922,0.1731762922,0.1731762922,0.1731762922,0.1731762922,0.1731762922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
